Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Refugees,Asylum seekers,Other people in need of international protection,Internally displaced persons,Stateless Persons,Others of concern to UNHCR,Host community
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#affected+refugees,#affected+asylum_seekers,#affected+oip,#affected+idps,#affected+stateless,#affected+others,#affected+hst
2022,DEU,AUS,Germany,Australia,8,7,0,0,0,0,0
2022,DEU,BRA,Germany,Brazil,5,28,0,0,0,0,0
2022,DEU,CAN,Germany,Canada,5,42,0,0,0,0,0
2022,DEU,CRI,Germany,Costa Rica,0,14,0,0,0,0,0
2022,DEU,GBR,Germany,United Kingdom of Great Britain and Northern Ireland,0,5,0,0,0,0,0
2022,DEU,MDA,Germany,Republic of Moldova,50,0,0,0,0,0,0
2022,DEU,MEX,Germany,Mexico,0,14,0,0,0,0,0
2022,DEU,NLD,Germany,Netherlands (Kingdom of the),5,0,0,0,0,0,0
2022,DEU,PER,Germany,Peru,0,5,0,0,0,0,0
2022,DEU,POL,Germany,Poland,0,11,0,0,0,0,0
2022,DEU,RUS,Germany,Russian Federation,42,12,0,0,0,0,0
2022,DEU,CHE,Germany,Switzerland,6,0,0,0,0,0,0
2022,DEU,USA,Germany,United States of America,41,401,0,0,0,0,0
2023,DEU,AUS,Germany,Australia,0,19,0,0,0,0,0
2023,DEU,BRA,Germany,Brazil,5,59,0,0,0,0,0
2023,DEU,CAN,Germany,Canada,5,40,0,0,0,0,0
2023,DEU,CRI,Germany,Costa Rica,0,8,0,0,0,0,0
2023,DEU,GBR,Germany,United Kingdom of Great Britain and Northern Ireland,0,5,0,0,0,0,0
2023,DEU,MEX,Germany,Mexico,0,6,0,0,0,0,0
2023,DEU,NLD,Germany,Netherlands (Kingdom of the),5,0,0,0,0,0,0
2023,DEU,PER,Germany,Peru,0,20,0,0,0,0,0
2023,DEU,POL,Germany,Poland,0,5,0,0,0,0,0
2023,DEU,RUS,Germany,Russian Federation,149,13,0,0,0,0,0
2023,DEU,CHE,Germany,Switzerland,5,0,0,0,0,0,0
2023,DEU,USA,Germany,United States of America,40,587,0,0,0,0,0
2024,DEU,ARM,Germany,Armenia,0,5,0,0,0,0,0
2024,DEU,AUS,Germany,Australia,0,24,0,0,0,0,0
2024,DEU,BLR,Germany,Belarus,0,5,0,0,0,0,0
2024,DEU,BRA,Germany,Brazil,5,65,0,0,0,0,0
2024,DEU,CAN,Germany,Canada,12,35,0,0,0,0,0
2024,DEU,CRI,Germany,Costa Rica,0,5,0,0,0,0,0
2024,DEU,GBR,Germany,United Kingdom of Great Britain and Northern Ireland,0,5,0,0,0,0,0
2024,DEU,MEX,Germany,Mexico,0,7,0,0,0,0,0
2024,DEU,NLD,Germany,Netherlands (Kingdom of the),5,0,0,0,0,0,0
2024,DEU,PER,Germany,Peru,0,20,0,0,0,0,0
2024,DEU,RUS,Germany,Russian Federation,186,8,0,0,0,0,0
2024,DEU,SVK,Germany,Slovakia,0,5,0,0,0,0,0
2024,DEU,CHE,Germany,Switzerland,7,5,0,0,0,0,0
2024,DEU,USA,Germany,United States of America,38,620,0,0,0,0,0
